,I,gq,groups,score
370,0.70303030303,0.702929292929,27,-27.35
371,0.70303030303,0.712828282828,32,-38.18
372,0.70303030303,0.722727272727,33,-40.43
373,0.70303030303,0.7326262626260001,37,-48.23
374,0.70303030303,0.742525252525,37,-48.23
375,0.70303030303,0.7524242424240001,38,-49.3
376,0.70303030303,0.762323232323,39,-51.78
377,0.70303030303,0.7722222222220001,42,-59.08
378,0.70303030303,0.7821212121209999,47,-71.56
379,0.70303030303,0.7920202020199999,49,-76.61
380,0.70303030303,0.801919191919,50,-79.15
381,0.70303030303,0.8118181818179999,50,-79.15
382,0.70303030303,0.821717171717,51,-81.7
383,0.70303030303,0.8316161616159999,53,-86.84
384,0.70303030303,0.841515151515,58,-99.84
385,0.70303030303,0.851414141414,59,-102.47
386,0.70303030303,0.861313131313,59,-102.47
387,0.70303030303,0.871212121212,61,-107.79
388,0.70303030303,0.881111111111,63,-113.18
389,0.70303030303,0.8910101010100001,65,-118.53
390,0.70303030303,0.9009090909090001,65,-118.53
391,0.70303030303,0.910808080808,68,-126.82
392,0.70303030303,0.9207070707070001,73,-140.71
393,0.70303030303,0.9306060606059999,77,-151.99
394,0.70303030303,0.9405050505050001,84,-171.89
395,0.70303030303,0.950404040404,90,-189.2
396,0.70303030303,0.960303030303,101,-221.39
397,0.70303030303,0.980101010101,116,-266.47
398,0.70303030303,0.970202020202,109,-245.29
399,0.70303030303,0.99,118,-272.57
400,0.90404040404,0.01,1,-135.76
401,0.90404040404,0.019898989899,1,-135.76
402,0.90404040404,0.029797979797999998,1,-135.76
403,0.90404040404,0.039696969697,1,-135.76
404,0.90404040404,0.049595959595999994,1,-135.76
405,0.90404040404,0.05949494949490001,1,-135.76
406,0.90404040404,0.06939393939389998,1,-135.76
407,0.90404040404,0.0792929292929,1,-135.76
408,0.90404040404,0.09909090909089999,1,-135.76
409,0.90404040404,0.08919191919189999,1,-135.76
410,0.90404040404,0.10898989899,1,-135.76
411,0.90404040404,0.11888888888900001,1,-135.76
412,0.90404040404,0.128787878788,1,-135.76
413,0.90404040404,0.138686868687,1,-135.76
414,0.90404040404,0.14858585858599999,1,-135.76
415,0.90404040404,0.158484848485,1,-135.76
416,0.90404040404,0.16838383838399998,1,-135.76
417,0.90404040404,0.178282828283,1,-135.76
418,0.90404040404,0.188181818182,1,-135.76
419,0.90404040404,0.198080808081,1,-135.76
420,0.90404040404,0.20797979798,1,-135.76
421,0.90404040404,0.227777777778,1,-135.76
422,0.90404040404,0.23767676767700002,1,-135.76
423,0.90404040404,0.217878787879,1,-135.76
424,0.90404040404,0.257474747475,1,-135.76
425,0.90404040404,0.24757575757599998,1,-135.76
426,0.90404040404,0.267373737374,1,-135.76
427,0.90404040404,0.277272727273,1,-135.76
428,0.90404040404,0.287171717172,1,-135.76
429,0.90404040404,0.29707070707100003,1,-135.76
430,0.90404040404,0.30696969697,1,-135.76
431,0.90404040404,0.316868686869,1,-135.76
432,0.90404040404,0.33666666666699996,1,-135.76
433,0.90404040404,0.326767676768,1,-135.76
434,0.90404040404,0.34656565656599997,1,-135.76
435,0.90404040404,0.356464646465,1,-135.76
436,0.90404040404,0.366363636364,1,-135.76
437,0.90404040404,0.376262626263,1,-135.76
438,0.90404040404,0.386161616162,1,-135.76
